Model,L1_reg,L2_reg,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Total |w|,Total w^2,MSE diff (train-test),MAE diff (train-test)
No regularization,0.0,0.0,542.7796177335238,602.6403773484202,19.850542456786094,21.276177656243256,45.15228209099972,50.02201075878205,1137.227133123036,698.1476518182385,59.86075961489644,1.4256351994571617
L2 (0.001),0.0,0.001,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,7.867954953721685,0.034059871141137565,2.7104178061852053,0.19377954434125755
L1 (0.001),0.001,0.0,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,0.014815250752247737,1.1543107882504546e-07,2.7104178061852053,0.19377954434125755
L1+L2 (0.0001),0.0001,0.0001,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,79.14266027103491,20.242329681051938,2.7104178061852053,0.19377954434125755
