l1_reg,l2_reg,train_mse,test_mse,train_mae,test_mae,train_mape,test_mape,total_abs_weights,total_sq_weights
0.0001,0.0,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,247.6501086694594,119.60154204773136
0.001,0.0,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,0.014815250752247737,1.1543107882504546e-07
0.0,0.0001,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,685.7934819128609,260.2929095294088
0.0001,0.0001,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,84.23039237240495,22.93554000437579
0.001,0.01,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,0.01550256314713313,1.0298438558812703e-07
0.001,0.001,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,0.01536693114022091,1.003174144397616e-07
0.0,0.01,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,2.4005472499263997e-19,3.0877475960799487e-41
0.01,0.0,560.4552066896782,563.1656244958634,20.562088262117825,20.755867806459083,45.88883719630812,48.258816559820396,0.1508011240816759,1.1831151278445912e-05
0.0,0.0,542.7796177335238,602.6403773484202,19.850542456786094,21.276177656243256,45.15228209099972,50.02201075878205,1137.227133123036,698.1476518182385
0.0,0.001,469.81653816322563,668.6729571291174,17.952179260372986,22.295748496966468,43.95555033815029,53.84028220431539,428.2689940224501,107.72286542597513
